%% LaTeX2e file `monLAC.csv'
%% generated by the `filecontents' environment
%% from source `gshs_thesis_15021_main' on 2017/06/15.
%%
Month 2003 2004 2005 2006
Jan 0.542545146 0.532660234 0.531680282 0.56302888
Feb 0.551732926 0.641271115 0.451005957 0.517768386
Mar 0.870260983 0.766652649 0.695412225 0.830218117
Apr 1.610691779 1.139653038 0.979261833 0.990648949
May 0.815110578 0.964388644 0.849016986 0.899541359
Jun 0.342659299 0.441476093 0.284179311 0.392417661
Jul 0.361557873 0.414698992 0.3243754 0.392273369
Aug 0.349955551 0.395465013 0.408578153 0.400368908
Sep 0.614448616 0.460020046 0.464296792 0.649849265
Oct 0.722819105 0.669064912 0.598383029 0.614154509
Nov 0.977034384 0.831360135 1.129532036 0.981457455
Dec 0.64348612 0.855057791 0.711696013 0.800908475
